3 - & Mosquetón con Esmerillón PETER - 1 ce 10 | Bolsa x 100 u. | pe-163
3 - *cable 1 x 6,00 celeste rollo x 100 mts. Normalizado Iram 247 | mts | 
 - *cable 1 x 6,00 marron rollo x 100 mts. | mts | 
3 - *cable 1 x 6,00 marron rollo x 100 mts. Normalizado Iram 247 | mts | 
3 - *cable 1 x 6,00 negro rollo x 100 mts. | mts. | 
3 - *cable 1 x 6,00 negro rollo x 100 mts. Normalizado Iram 247 | mts | 
3 - *cable 1 x 6,00 rojo bobina | mts. | 
0 - *cable 1 x 6,00 rojo rollo x 100 mts. | mts. | 
3 - *cable 2 x 0,50 paralelo  rollo x 100 mts. | mts. | 
3 - *cable 2 x 1,00 paralelo  ( bob. 500 mts.) | mts | 
3 - *cable 2 x 1,00 paralelo  rollo x 100 mts. | mts. | 
3 - *cable 2 x 1,00 tipo taller  ( bob. 200 mts.) | mts. | 
3 - *cable 2 x 1,00 tipo taller  rollo x 100 mts. | mts. | 
3 - *cable 2 x 1,00 vaina chata  rollo x 100 mts. | mts. | 
3 - *cable 2 x 1,50 paralelo  ( bob.400 mts.) | mts. | 
3 - *cable 2 x 1,50 paralelo  rollo x 100 mts. | mts. | 
3 - *cable 2 x 1,50 tipo taller  ( bob.150 mts.) | mts. | 
3 - *cable 2 x 1,50 tipo taller  rollo x 100 mts. | mts. | 
3 - *cable 2 x 1,50 tipo taller (bob. 500 mts) | mts. | 
3 - *cable 2 x 1,50 vaina chata  rollo x 100 mts. | mts. | 
3 - *cable 2 x 2,50 paralelo  (bob.250 mts.) | mts. | 
3 - *cable 2 x 2,50 paralelo  rollo x 100 mts. | mts. | 
3 - *cable 2 x 2,50 tipo taller ( bob. 150 mts.) | mts. | 
3 - *cable 2 x 2,50 tipo taller ( bob. 500 mts.) | mts. | 
3 - *cable 2 x 2,50 vaina chata  rollo x 100 mts. | mts. | 
3 - *cable 2 x 2.50 tipo taller rollo x 100 mts. | mts. | 
3 - *cable 2 x 4,00 tipo taller  rollo x 100 mts. | mts. | 
3 - *cable 2 x 4,00 vaina chata  rollo x 100 mts. | mts. | 
3 - *cable 3 x 1,00 tipo taller rollo x 100 mts. | mts. | 
3 - *cable 3 x 1,50 tipo taller  rollo x 100 mts. | mts. | 
3 - *cable 3 x 1,50 vaina chata  rollo x 100 mts. | mts. | 
3 - *cable 3 x 2,50 tipo taller rollo x 100 mts. | mts. | 
3 - *cable 3 x 2,50 vaina chata  rollo x 100 mts. | mts. | 
3 - *cable 3 x 4,00 tipo taller rollo x 100 mts. | mts. | 
3 - *cable 4 x 2,50 tipo taller x 100 mts. | mts. | 
3 - *cable 4 x 4,00 tipo taller rollo x 100 mts. | mts. | 
3 - *cable 5 x 1,50 tipo taller rollo x 100 mts. | mts. | 
