3 - & Mosquetón con Esmerillón PETER - 1 ce 10 | Bolsa x 100 u. | pe-163
3 - *Pinza amperometrica compacta. JA -INT0087 | uni | 
3 - *Pinza amperometrica digital. JA -INT0266 | uni | 
3 - *Pinza Pelacable de Presición. JA - CRI0555 | uni | 
3 - *Pistola de pegar 15W para barras de 7mm. JA -PPG1715 | uni | 
3 - *Pistola de pegar 40W para barras de 11 mm. JA -PPG1740 | uni | 
3 - *Portal. De Lampara de Emergencia - IL0040 | uni | 
3 - *Portalampara 3 Pieza marfil *Oferta* - ND004 | uni | 
3 - *Portalampara 3 Pieza negro *Oferta* - ND003 | uni | 
3 - *Portapilas p/ 2 pilas AA. JA -PPI0701 | uni | 
3 - *Portatil de PVC 2 mts. *Oferta* -TA048 | uni | 
3 - *Portatil Industrial *Oferta* -TA049 | uni | 
3 - *Portatil Industrial con Cable *Oferta* -TA050 | uni | 
3 - *Protector para toma corriente *Oferta* -PT100 | uni | 
3 - *Proyector 150W con Sensor de Mov. Negro | uni | 
3 - *Proyector 500W con Lampara Negro | uni | 
3 - *Proyector 500W con Pie-Reja Pro.-Mango c/Goma | uni | 
3 - *Proyector 500W con Sensor de Mov. Negro- 300139 | uni | 
3 - *Proyector Halogeno 150W con Lampara Negro | uni | 
3 - *Proyector Halogeno 500W Ligth Tronic | uni | 
3 - *Proyector Led 100W Nova Linea Premiun | uni | 
3 - *Proyector Led 10W con sensor Nova | uni | 
3 - *Proyector Led 10W Nova Hogar | uni | 
3 - *Proyector Led 10W Nova Linea Premiun | uni | 
0 - *Proyector Led 150W Nova Linea Premiun | uni | 
3 - *Proyector Led 20W con sensor Nova | uni | 
3 - *Proyector Led 20W linea Hogar | uni | 
3 - *Proyector Led 20W Nova Linea Premiun | uni | 
3 - *Proyector Led 30W con sensor Nova | uni | 
3 - *Proyector Led 30W Nova Hogar | uni | 
3 - *Proyector Led 30W Nova Linea Premiun | uni | 
3 - *Proyector Led 50W con sensor Nova | uni | 
3 - *Proyector Led 50W Nova Hogar | uni | 
3 - *Proyector Led 70W Nova Linea Premiun | uni | 
3 - *Receptaculo Curvo Negro *Oferta* - ND009 | uni | 
3 - *Silicona Acetica 280 CC Tacsa Transparente-oferta- | uni | 
3 - *Soldador Premiun Pta Ceramica 40w JA -SOL3040 | uni | 
3 - *Soldador Premiun Punta Ceramica 60w JA -SOL4060 | uni | 
3 - *Soldador standard 40w JA -SOL5040 | uni | 
3 - *soporte plastico con toma 10 A - S831- | uni | 
3 - *Soporte Plastico Interruptor Unipolar *Oferta* -S802 | uni | 
3 - *Soporte Plastico Interruptor y Toma 10 A *Oferta* -S839/S819 | uni | 
3 - *Tapa Octogonal chica 7x7 -NL031 | uni | 
3 - *Temporizador Mecanico Enchufable. JA -TIM1660 | uni | 
3 - *Termica Bipolar 10 A SICA | uni | 
3 - *Termica Bipolar 15 A SICA | uni | 
3 - *Termica Bipolar 20 A SICA | uni | 
3 - *Termica Bipolar 25 A SICA | uni. | 
3 - *Termica Unipolar 10 A SICA | uni | 
3 - *Termica Unipolar 15 A SICA | uni | 
3 - *Termica Unipolar 20 A SICA | uni | 
3 - *Termica Unipolar 25 A SICA | uni. | 
3 - *Termica Unipolar 32 A SICA | uni | 
3 - *Termica Unipolar 40 A SICA | uni | 
3 - *Tester digital c/probador de Cables. JA - INT7300 | uni | 
3 - *Tester digital. JA - INT0830 | uni | 
3 - *Timbre Inalambrico 3D SONIDOS S/P. JA -TBR1678 | uni | 
3 - *Timbre Inalambrico Digital JA -TBR1677 | uni | 
3 - *Toma Corriente Tripolar C/TT 32A *Oferta* | uni | 
3 - *Toma doble c/cable de 3 mts. -NT021 | uni | 
3 - *Toma doble c/perno plano -NT012 | uni | 
3 - *Toma doble c/perno redondo -NT011 | uni | 
3 - *Toma doble -NT010 | uni | 
3 - *Toma simple -NT009 | uni | 
3 - *Toma Zocalo 2 bocas Blanco. Caja x 20 u. TET082B | uni | 
3 - *Toma Zocalo Rj11 simple. JA -TET0081 | uni | 
3 - *Tortuga Led 10 W Redonda Premiun Ja | uni | 
3 - *Tortuga Led 10W Oval Premiun Ja | un | 
3 - *Tortuga Led 12 W Oval AKAI | uni | 
3 - *Tortuga Led 12 W Redonda AKAI | uni | 
3 - *Tortuga Led 18 W Redonda AKAI | uni | 
3 - *Tortuga Led 20 W Oval Premiun Ja | uni | 
3 - *Tortuga Led 20 W Redonda Premiun Ja | uni | 
3 - *Tubo 2109 Industrial Led 40W AKAI | uni | 
3 - *Tubo de Led 18W Luz Fria JA | uni | 
3 - *Tubo de Led 18W Luz Fria Nova | uni | 
3 - *Tubo de Led 9W Luz Fria JA | uni | 
3 - *Tubo de Led 9W Luz Fria Nova | uni | 
3 - *Tubo Fluorescente Recto 15W - 400544 | uni | 
3 - *Tubo Fluorescente Recto 18W - 400490 | uni | 
3 - *Tubo Fluorescente Recto 30W - 400545 | uni | 
3 - *Tubo Fluorescente Recto 36W France | uni | 
3 - *Union Coaxil Plastica. JA -TVF0001 | uni | 
3 - *Variador de Ventilador Exterior -NL043 | uni | 
3 - *Velador con Base Articulado Negro | uni | 
3 - *Velador con Base Aticulado Blanco | uni | 
3 - *Velador con Base AzuL | uni | 
3 - *Velador con Base Blanco | uni | 
3 - *Velador con Base Negro | uni | 
3 - *Velador con Base Rojo | uni | 
3 - *Velador Dibujo con Lupa Blanco | uni | 
3 - *Velador Dibujo con Lupa Negro | uni | 
3 - *Velador Pinza Color Azul | uni | 
3 - *Velador Pinza Color Blanco | uni | 
3 - *Velador Pinza Color Negro | uni | 
3 - *Velador Pinza Color Rojo | uni | 
3 - *Zapatilla 4 Tomas con bornera -NT001 | uni | 
3 - *Zapatilla 4 Tomas con interruptor -NT003 | uni | 
3 - *Zapatilla 4 tomas con interruptor y cable -NT005 | uni | 
3 - *Zapatilla 5 Tomas con Cable 3 mts Sicilia | uni | 
3 - *Zapatilla 5 Tomas con Cable 5 mts Sicilia | uni | 
3 - *Zapatilla 5 tomas con interruptor y cable -NT029 | uni | 
3 - *Zapatilla 6 Tomas con bornera -NT004 | uni | 
3 - *Zocalo porta arrancador -TA059 | uni | 
3 - *Zocalo porta Tubo-TA058 | uni | 
1 - abrazadera a cremallera   8 a 16 mm 02 | uni | ab-051
1 - abrazadera a cremallera  12 a 22 mm 03 | uni | ab-052
1 - abrazadera a cremallera  16 a 27 mm 04 | uni | ab-053
1 - abrazadera a cremallera  21 a 38(23 a 35) mm 05 | uni | ab-054
1 - abrazadera a cremallera  21 a 44(30 a 45) mm 06 | uni | ab-055
1 - abrazadera a cremallera  27 a 51(32 a 50) mm 07 | uni | ab-056
1 - abrazadera a cremallera  40 a 63(40 a 60) mm 08 | uni | ab-057
1 - abrazadera a cremallera  78 a 101 mm 10 | uni | ab-059
1 - abrazadera a cremallera 118 a 140 mm 12 | uni | ab-061
1 - Aceitera Metalica con Bomba de 500 cc -pico intercambiable | uni | 
1 - acople rápido para manguera 1/2 " | uni | ac-001
1 - aguja bolsero curva 5  paq. x 20 | uni | ag-001
1 - aguja bolsero curva 6  paq. x 20 | uni | ag-002
1 - aguja bolsero curva 7  paq. 100 | uni | ag-003
1 - aguja bolsero recta 5  paq. x 20 | uni | ag-004
1 - aguja bolsero recta 7  paq. x 20 | uni | ag-006
1 - alicate de corte 6" "Metz" | uni | al-002
1 - Amoladora Angular 4,5" 900 W | uni | 
0 - Anteojo de policarbonato transparente | un | 
3 - arandela de Neoprene x 100 u. | cien | 
1 - arandela grower 1/8"x2500 u | caja | ar-004
1 - arandela grower 5/32"x2500 u | caja | ar-009
1 - arandela grower 5/8" x 200 u | caja | ar-010
1 - arandela grower 7/32"x2000 u | caja | ar-012
3 - arandela metal vulcanizada  x 100 u. | cien | 
3 - arandela plana  1/2 zincada | kg | ar-100
3 - arandela plana  1/4 zincada | kg | ar-101
3 - arandela plana  3/16 zincada | kg | ar-018
3 - arandela plana  3/4 zincada | kg | ar-103
3 - arandela plana  3/8 zincada | kg | ar-104
 - arandela plana  5/16 zincada | kg | 
3 - arandela plana  5/8 zincada | kg | ar-106
3 - arandela plana  7/16 zincada | kg | ar-107
3 - arandela plana  7/8 zincada | kg | 
3 - arandela plana  9/16 zincada | kg | ar-105
1 - arco de sierra fijo mango plastico | uni | ar-100
1 - arco de sierra junior metalico c/hoja | uni | ar-042
1 - arco de sierra mango madera El Abuelo | uni | 
1 - balines copita 4,5 mm x 100 u | caja | ba-001
1 - balines copita 5,5 mm x 100 u | caja | ba-002
 - barbijo friselina 2 capas X 100 -oferta- | pack x 100 | 0
 - barbijo friselina 3 capas X 100 -oferta- | pack x 100 | 
1 - barra adhesiva transparente fina | kg | 
1 - barra adhesiva transparente gruesa | kg | 
1 - barrehojas aluminio extensible con cabo | uni | 
1 - barrehojas metalico y alambre "toth" | uni | ba-005
3 - barrehojas plastico reforzado negro | uni | ba-101
1 - barrehojas plastico y alambre "toth" | uni | ba-006
1 - barreta 19x500 "El Roble" | uni | ba-008
1 - barreta 19x600 "El Roble" | uni | ba-009
1 - barreta 19x700 "El Roble" | uni | ba-010
1 - bisagra "5005" bceada. 25 mm 1" caja x 48 u | caja | bi-002
1 - bisagra "5005" bceada. 38 mm 1 1/2" caja x 24 u | caja | bi-003
1 - bisagra "5005" bceada. 50 mm 2" caja x 24 u | caja | bi-004
1 - bisagra "5005" bceada. 63 mm 2 1/2" caja x 24  u | caja | bi-005
1 - bisagra "5005" bceada. 76 mm 3" caja x 24 u | caja | bi-006
1 - bisagra "5005" bceada. 88mm 3 1/2" caja x 24 u | caja | bi-507
1 - bisagra "5005" bceada.101 m 4 " caja x 24  u | caja | bi-001
1 - bisagra "5005" hierro 25 mm 1" caja x 48 u | caja | bi-008
1 - bisagra "5005" hierro 38 mm 1 1/2" caja x 24 u | caja | bi-009
1 - bisagra "5005" hierro 50 mm 2" caja x 24 u | caja | bi-010
1 - bisagra "5005" hierro 63 mm 2 1/2 caja x 24 u | caja | bi-011
1 - bisagra "5005" hierro 76 mm 3" caja x 24 u | caja | bi-012
1 - bisagra "5005" hierro 88 mm 3 1/2 caja x 24 u | caja | bi-013
1 - bisagra "5005" hierro.101 mm 4" caja x 24 u | caja | bi-007
1 - bisagra Carpintero 80 x 20 mm | uni | bi-019
1 - bisagra ficha 2 x 3 x 1,5 mm x 25 u | uni | bi-016
1 - bisagra ficha 2 x 5 x 1,5 mm x 25 u | uni | bi-018
1 - bisagra municion 101 x 44 ala corta soldar | uni | bi-502
1 - bisagra municion 101 x 75 ala larga atornillar | uni | bi-035
1 - bisagra munición 101 x 75 ala larga soldar | uni | bi-501
1 - bisagra munición 75 x 44 ala corta soldar | uni | bi-504
1 - bisagra munición 75 x 75 ala larga atornillar | uni | bi-505
1 - bisagra munición 75 x 75 ala larga soldar | uni | bi-503
1 - bisagra p/soldar 101 x 33 alas largas | uni | bi-021
1 - bisagra p/soldar 101 x 8 alas cortas | uni | bi-221
1 - bisagra p/soldar 60 x 33 alas largas | uni | bi-
1 - bisagra p/soldar 60 x 8 alas cortas | uni | bi-022
1 - bisagra p/soldar 80 x 33 alas largas | uni | bi-023
1 - bisagra p/soldar 80 x 8 alas cortas | uni | bi-026
1 - bisagra pomela carpintero 140x 60 | caja | bi-024
1 - bisagra simple accion resorte ref. 4" caja x 2 u | caja | bi-028
1 - bisagra t  3" caja x 24 u | caja | bi-029
1 - bisagra t  4" caja x 24 u | caja | bi-030
1 - bisagra t  5" caja x 12 u | caja | bi-031
1 - bisagra t  6" caja x 12 u | caja | bi-032
1 - bisagra t  8" caja x 12 u | caja | bi-033
1 - bisagra t 10" caja x 12 u | caja | bi-034
1 - bocallave  .1 1/16" | uni | bo-014
1 - bocallave  .1 3/16" | uni | bo-017
1 - bocallave  .1 5/16" | uni | bo-019
1 - bocallave  .1" | uni | bo-021
1 - bocallave  .1/2" | uni | bo-009
1 - bocallave  .19/32" | uni | bo-011
1 - bocallave  .21/32" | uni | bo-013
1 - bocallave  .3 1/32" | uni | bo-020
1 - bocallave  .3/4" | uni | bo-015
1 - bocallave  .3/8" | uni | bo-007
1 - bocallave  .5/16" | uni | bo-006
1 - bocallave  .5/8" | uni | bo-012
1 - bocallave  .7/16" | uni | bo-008
1 - bocallave  .7/8" | uni | bo-018
1 - bocallave  .9/16" | uni | bo-010
1 - bocallave  7 mm | uni | bo-025
1 - bocallave  8 mm | uni | bo-026
1 - bocallave  9 mm | uni | bo-027
1 - bocallave 10 mm | uni | bo-028
1 - bocallave 11 mm | uni | bo-029
1 - bocallave 12 mm | uni | bo-030
1 - bocallave 13 mm | uni | bo-031
1 - bocallave 14 mm | uni | bo-032
1 - bocallave 15 mm | uni | bo-033
1 - bocallave 16 mm | uni | bo-034
1 - bocallave 17 mm | uni | bo-035
1 - bocallave 18 mm | uni | bo-036
1 - bocallave 19 mm | uni | bo-037
1 - bocallave 20 mm | uni | bo-038
1 - bocallave 21 mm | uni | bo-039
1 - bocallave 22 mm | uni | bo-040
1 - bocallave 23 mm | uni | bo-041
1 - bocallave 24 mm | uni | bo-042
1 - bocallave 25 mm | uni | bo-043
1 - bocallave 26 mm | uni | bo-044
1 - bocallave 27 mm | uni | bo-045
1 - bocallave 28 mm | uni | bo-046
1 - bocallave 29 mm | uni | bo-047
1 - bocallave 30 mm | uni | bo-048
1 - bocallave 31 mm | uni | bo-049
1 - bocallave 32 mm | uni | bo-050
1 - bocallave magnetica 1/4" | uni | bo-203
1 - bocallave magnetica 3/8"  pac x 5 u | pac | 
1 - bocallave redondo chapa bronceada 42 mm | uni | bo-003
1 - bocallave redondo chapa niquelada 42 mm | uni | bo-004
1 - bocallave redondo de bronce 42 mm | uni | bo-206
0 - Bocallaves en jgo x 12 pzs encastre 1/2" | set | 
0 - Bocallaves en jgo x 12 pzs encastre 1/4" | set | 
3 - bulon cabeza hexagonal galv.  1/2" x 1" | cien | bu-062
3 - bulon cabeza hexagonal galv.  1/2" x 1.1/2" | cien | bu-064
3 - bulon cabeza hexagonal galv.  1/2" x 1.1/4" | cien | bu-063
3 - bulon cabeza hexagonal galv.  1/2" x 2" | cien | bu-065
3 - bulon cabeza hexagonal galv.  1/4" x 1" | cien | bu-007
3 - bulon cabeza hexagonal galv.  1/4" x 1.1/2" | cien | bu-009
3 - bulon cabeza hexagonal galv.  1/4" x 1.1/4" | cien | bu-008
3 - bulon cabeza hexagonal galv.  1/4" x 1.3/4" | cien | bu-010
3 - bulon cabeza hexagonal galv.  1/4" x 1/2" | cien | bu-003
3 - bulon cabeza hexagonal galv.  1/4" x 2" | cien | bu-011
3 - bulon cabeza hexagonal galv.  1/4" x 2.1/2" | cien | bu-013
3 - bulon cabeza hexagonal galv.  1/4" x 2.1/4" | cien | bu-012
3 - bulon cabeza hexagonal galv.  1/4" x 2.3/4" | cien | bu-014
3 - bulon cabeza hexagonal galv.  1/4" x 3" | cien | bu-015
3 - bulon cabeza hexagonal galv.  1/4" x 3.1/2" | cien | bu-017
3 - bulon cabeza hexagonal galv.  1/4" x 3.1/4" | cien | bu-016
3 - bulon cabeza hexagonal galv.  1/4" x 3/4" | cien | bu-005
3 - bulon cabeza hexagonal galv.  1/4" x 4" | cien | bu-018
3 - bulon cabeza hexagonal galv.  1/4" x 4.1/2" | cien | bu-019
3 - bulon cabeza hexagonal galv.  1/4" x 5" | cien | 
3 - bulon cabeza hexagonal galv.  1/4" x 5/8" | cien | bu-004
3 - bulon cabeza hexagonal galv.  1/4" x 7/8" | cien | bu-006
3 - bulon cabeza hexagonal galv.  3/8  x 1" | cien | bu-040
3 - bulon cabeza hexagonal galv. 3/8   x 5" | uni | 
3 - bulon cabeza hexagonal galv. 3/8" x 1.1/2" | cien | bu-042
3 - bulon cabeza hexagonal galv. 3/8" x 1.1/4" | cien | bu-041
3 - bulon cabeza hexagonal galv. 3/8" x 1.3/4" | cien | bu-043
3 - bulon cabeza hexagonal galv. 3/8" x 2" | cien | bu-044
3 - bulon cabeza hexagonal galv. 3/8" x 2.1/2" | cien | bu-046
3 - bulon cabeza hexagonal galv. 3/8" x 2.1/4" | cien | bu-045
3 - bulon cabeza hexagonal galv. 3/8" x 2.3/4" | cien | bu-047
3 - bulon cabeza hexagonal galv. 3/8" x 3 1/4" | cien | bu-049
3 - bulon cabeza hexagonal galv. 3/8" x 3" | cien | bu-048
3 - bulon cabeza hexagonal galv. 3/8" x 3.1/2" | cien | bu-050
3 - bulon cabeza hexagonal galv. 3/8" x 3/4" | cien | bu-038
3 - bulon cabeza hexagonal galv. 3/8" x 4 1/2" | cien | bu-052
3 - bulon cabeza hexagonal galv. 3/8" x 4" | cien | bu-051
3 - bulon cabeza hexagonal galv. 3/8" x 5/8" | cien | bu-037
3 - bulon cabeza hexagonal galv. 3/8" x 7/8" | cien | bu-039
3 - bulon cabeza hexagonal galv. 5/16 x 2 | cien | bu-028
3 - bulon cabeza hexagonal galv. 5/16" x 1" | cien | bu-024
3 - bulon cabeza hexagonal galv. 5/16" x 1.1/2" | cien | bu-026
3 - bulon cabeza hexagonal galv. 5/16" x 1.1/4" | cien | bu-025
3 - bulon cabeza hexagonal galv. 5/16" x 1.3/4" | cien | bu-027
3 - bulon cabeza hexagonal galv. 5/16" x 1/2" | cien | bu-020
3 - bulon cabeza hexagonal galv. 5/16" x 2.1/2" | cien | bu-030
3 - bulon cabeza hexagonal galv. 5/16" x 2.1/4" | cien | bu-029
3 - bulon cabeza hexagonal galv. 5/16" x 2.3/4" | cien | bu-031
3 - bulon cabeza hexagonal galv. 5/16" x 3" | cien | bu-032
3 - bulon cabeza hexagonal galv. 5/16" x 3.1/2" | cien | bu-034
3 - bulon cabeza hexagonal galv. 5/16" x 3.1/4" | cien | bu-033
3 - bulon cabeza hexagonal galv. 5/16" x 3/4" | cien | bu-022
3 - bulon cabeza hexagonal galv. 5/16" x 4" | cien | bu-035
3 - bulon cabeza hexagonal galv. 5/16" x 4.1/2" | cien | bu-036
3 - bulon cabeza hexagonal galv. 5/16" x 5" | cien | 
3 - bulon cabeza hexagonal galv. 5/16" x 5/8" | cien | bu-021
3 - bulon cabeza hexagonal galv. 5/16" x 7/8" | cien | bu-023
3 - bulon cabeza hexagonal galv. 7/16" x 1" | cien | bu-053
3 - bulon cabeza hexagonal galv. 7/16" x 1.1/2" | cien | bu-055
3 - bulon cabeza hexagonal galv. 7/16" x 1.1/4" | cien | bu-054
3 - bulon cabeza hexagonal galv. 7/16" x 2" | cien | bu-056
3 - bulon cabeza hexagonal galv. 7/16" x 2.1/2" | cien | bu-057
3 - bulon cabeza hexagonal galv. 7/16" x 3" | cien | bu-058
3 - bulon cabeza hexagonal galv. 7/16" x 3.1/2" | cien | bu-059
3 - bulon cabeza hexagonal galv. 7/16" x 4" | cien | bu-060
3 - bulon cabeza hexagonal galv. 7/16" x 4.1/2" | cien | bu-061
3 - bulon cabeza redonda c/cuad galv. 1/4" x 1"                                  | cien | bu-078
3 - bulon cabeza redonda c/cuad galv. 1/4" x 1.1/2"                           | cien | bu-080
3 - bulon cabeza redonda c/cuad galv. 1/4" x 1.1/4"                    | cien | bu-079
3 - bulon cabeza redonda c/cuad galv. 1/4" x 1.3/4"                             | cien | bu-081
3 - bulon cabeza redonda c/cuad galv. 1/4" x 2"                                 | cien | bu-082
3 - bulon cabeza redonda c/cuad galv. 1/4" x 2.1/2"                             | cien | bu-084
3 - bulon cabeza redonda c/cuad galv. 1/4" x 2.1/4"             | cien | bu-083
3 - bulon cabeza redonda c/cuad galv. 1/4" x 2.3/4"                           | cien | bu-085
3 - bulon cabeza redonda c/cuad galv. 1/4" x 3"                               | cien | bu-086
3 - bulon cabeza redonda c/cuad galv. 1/4" x 3.1/2"                     | cien | bu-088
3 - bulon cabeza redonda c/cuad galv. 1/4" x 3.1/4"                            | cien | bu-087
3 - bulon cabeza redonda c/cuad galv. 1/4" x 3/4"                                | cien | bu-076
3 - bulon cabeza redonda c/cuad galv. 1/4" x 4 " | cien | 
3 - bulon cabeza redonda c/cuad galv. 1/4" x 4 1/2" | cien | 
3 - bulon cabeza redonda c/cuad galv. 1/4" x 5 1/2" | cien | bu-089
3 - bulon cabeza redonda c/cuad galv. 1/4" x 5" | cien | bu-090
3 - bulon cabeza redonda c/cuad galv. 3/8" x 1"                                | cien | bu-112
3 - bulon cabeza redonda c/cuad galv. 3/8" x 1.1/2"                              | cien | bu-114
3 - bulon cabeza redonda c/cuad galv. 3/8" x 1.1/4"                              | cien | bu-113
3 - bulon cabeza redonda c/cuad galv. 3/8" x 1.3/4"                              | cien | bu-115
3 - bulon cabeza redonda c/cuad galv. 3/8" x 2"             | cien | bu-116
3 - bulon cabeza redonda c/cuad galv. 3/8" x 2.1/2"                         | cien | bu-118
3 - bulon cabeza redonda c/cuad galv. 3/8" x 2.1/4"              | cien | bu-117
3 - bulon cabeza redonda c/cuad galv. 3/8" x 2.3/4"                   | cien | bu-119
3 - bulon cabeza redonda c/cuad galv. 3/8" x 3 1/2" | cien | bu-122
3 - bulon cabeza redonda c/cuad galv. 3/8" x 3 1/4"                          | cien | bu-121
3 - bulon cabeza redonda c/cuad galv. 3/8" x 3"                             | cien | bu-120
3 - bulon cabeza redonda c/cuad galv. 3/8" x 4 1/2" | cien | bu-224
3 - bulon cabeza redonda c/cuad galv. 3/8" x 4"                                    | cien | bu-123
3 - bulon cabeza redonda c/cuad galv. 5/16" x 1"                               | cien | bu-095
3 - bulon cabeza redonda c/cuad galv. 5/16" x 1.1/2"                          | cien | bu-097
3 - bulon cabeza redonda c/cuad galv. 5/16" x 1.1/4"                        | cien | bu-096
3 - bulon cabeza redonda c/cuad galv. 5/16" x 1.3/4"                          | cien | bu-098
3 - bulon cabeza redonda c/cuad galv. 5/16" x 2"                                | cien | bu-099
3 - bulon cabeza redonda c/cuad galv. 5/16" x 2.1/2"                           | cien | bu-101
3 - bulon cabeza redonda c/cuad galv. 5/16" x 2.1/4"                          | cien | bu-100
3 - bulon cabeza redonda c/cuad galv. 5/16" x 2.3/4"                            | cien | bu-102
3 - bulon cabeza redonda c/cuad galv. 5/16" x 3"                                 | cien | bu-103
3 - bulon cabeza redonda c/cuad galv. 5/16" x 3.1/2"                           | cien | bu-105
3 - bulon cabeza redonda c/cuad galv. 5/16" x 3.1/4"                            | cien | bu-104
 - bulon cabeza redonda c/cuad galv. 5/16" x 3/4"                           | cien | bu-093
3 - bulon cabeza redonda c/cuad galv. 5/16" x 4"                                   | cien | bu-106
3 - bulon cabeza redonda c/cuad galv. 5/16" x 5" | cien | bu-107
1 - buscapolo 140 mm "Santoro" | uni | bu-002
1 - buscapolo 190 mm "Santoro" | uni | bu-001
1 - cable de acero forrado en pvc 4 mm | mts | ca-001
1 - cable de acero forrado en pvc 5 mm | mts | ca-002
1 - cable para plancha 3 x 0.80 x 1.80 mts, 2 patas | uni | ca-400
1 - cable para plancha 3 x 0.80 x 1.80 mts, 3 patas | uni | ca-401
1 - cable para puente de bateria 1000 Amp. Super Reforzado | uni | 
1 - cable para puente de bateria en blister | uni | 
3 - cabo p/azada 1,35 cm | uni | ca-004
3 - cabo p/hacha 90 cm | uni | ca-008
3 - cabo p/hachita 35 cm | uni | ca-009
3 - cabo p/martillo carpintero 30 cm | uni | ca-010
3 - cabo p/martillo carpintero 40 cm | uni | ca-011
3 - cabo p/martillo galponero | uni | ca-012
3 - cabo p/maza 30 cm | uni | ca-013
3 - cabo p/maza 40 cm | uni | ca-014
3 - cabo p/maza 90 cm | uni | ca-015
3 - cabo p/pala 0,70 cm empuñadura metalica | uni | ca-016
3 - cabo p/pala 0,70 cm empuñadura plastica | uni | ca-017
3 - cabo p/pala 1,20 mts. | uni | ca-018
3 - cabo p/pico  90cm. | uni | ca-019
3 - cadena  para perro galv. 1,20 mts | uni | 
2 - cadena "onetto"  n° 25 | kg | ca-020
2 - cadena "onetto"  n° 30 | kg | 
2 - cadena "onetto"  n° 40 | kg | ca-501
2 - cadena "onetto"  nº 35 | kg | ca-021
2 - cadena "onetto"  nº 45 | kg | ca-022
2 - cadena "onetto"  nº 50 | kg | ca-023
2 - cadena "onetto"  nº 55 | kg | ca-024
2 - cadena "onetto"  nº 60 | kg | ca-025
2 - cadena "onetto"  nº 70 | kg | ca-026
2 - cadena "onetto"  nº 80 | kg | ca-027
2 - cadena "onetto"  nº 90 | kg | ca-028
2 - cadena "onetto" n° 110 | kg | ca-030
2 - cadena "onetto" nº 100 | kg | ca-029
2 - cadena "onetto" nº 120 | kg | ca-031
3 - cadena Zincada n° 30 | kg | 
3 - cadena Zincada n° 35 | kg | 
3 - cadena Zincada n° 40 | kg | 
3 - cadena Zincada n° 50 | kg | 
3 - cadena Zincada n° 60 | kg | 
1 - caja herramientas rodante tapa desm. y divisores | uni | ca-502
3 - caja metalica Papagno  M 2 | uni | ca-352
3 - caja metalica Papagno  M 3 | uni | ca-353
3 - caja metalica Papagno  M 7 | uni | ca-354
3 - caja metalica Papagno  M 9 | uni | ca-355
3 - caja metalica Papagno baul especial | uni | ca-358
3 - caja metalica Papagno M 25 | uni | ca-356
3 - caja metalica Papagno M 70 | uni | ca-357
3 - caja organizadora para mechas Papagno | uni | or-001
3 - caja para mecha de acero Papagno | uni | ca-361
1 - calibre metalico con freno cromado en caja | uni | 
1 - calibre plastico pulg/milim en blister | uni | 
1 - candado  liviano 30 "wolfdog" | uni. | 
1 - candado  liviano 50 "wolfdog" | uni | 
1 - candado  pesado 30 mm "wolfdog" | uni | ca-074
1 - candado  pesado 50 mm "wolfdog" | uni | ca-076
1 - candado bronce Dubai d/traba 20 mm | uni | du-008
1 - candado bronce Dubai d/traba 25 mm | uni | du-007
1 - candado bronce Dubai d/traba 32 mm | uni | re-204
1 - candado bronce Dubai d/traba 38 mm | uni | du-003
1 - candado bronce Dubai d/traba 50 mm | uni | du-002
1 - candado bronce Dubai d/traba 63 mm | uni | du-001
1 - candado bronce liviano 50 mm"proll" 500 | uni | ca-503
1 - candado bronce liviano 60 mm"proll" 500 | uni | ca-504
1 - candado bronce pesado 30 tyson "proll" | uni | ca-505
1 - candado de alta seguridad Proll Kronos 40 mm | uni | ca-402
1 - candado de alta seguridad Proll Kronos 50 mm | uni | ca-401
1 - candado de alta seguridad Proll Kronos 60 mm | uni | ca-400
1 - candado de alta seguridad Proll Kronos Arco Alto 40 mm | uni | ca-403
 - candado Dubai bronceado Arco Alto 32 OFERTA | uni | 
2 - candado OLAEN d/traba 30 mm | uni | ca-052
2 - candado OLAEN d/traba 40 mm | uni | ca-053
2 - candado OLAEN d/traba 40 mm a/a | uni | 
2 - candado OLAEN d/traba 50 mm | uni | ca-055
2 - candado OLAEN d/traba 60 mm | uni | 
2 - candado OLAEN d/traba hermanado 30 mm | uni | 
2 - candado OLAEN d/traba hermanado 40 mm | uni | 
2 - candado OLAEN d/traba hermanado 50 mm | uni | 
2 - candado OLAEN de seguridad perno horizontal | uni | 
2 - candado OLAEN Numérico 30 mm | uni | ca-064
1 - candado Titanio "Proll" 25 mm | uni | ca-077
1 - candado Titanio "Proll" 30 mm | uni | ca-078
1 - candado Titanio "Proll" 40 mm | uni | ca-079
1 - candado Titanio "Proll" 50 mm | uni | ca-080
1 - candado Titanio "Proll" 60 mm | uni | ca-081
1 - candado Titanio Arco Alto "Proll" 30 mm | uni | 
1 - candado Titanio Arco Alto "Proll" 40 mm | un | 
1 - candado Titanio Arco Alto "Proll" 50 mm | uni | 
0 - Canilla Bronceada de 1/2" con cuerito | uni | 
0 - Canilla Cromada Doble p/ lavarropas | uni | 
0 - Canilla Esferica de 1/2"manija mariposa | uni | 
0 - Canilla Esferica de 1/2"manija palanca | uni | 
0 - Canilla Esferica de 3/4" manija palanca | un | 
3 - Canilla Monocomando para mesada de cocina - Prego - | uni | 
1 - caño  descarga de lavarropa tricolor 3/4 x 25 | mts | ca-235
